net_cost,self_sufficiency_pct,soh_drop_pct,degradation_cost,comfort_violation_kwh,battery_switching_events,control_effort_kw,peak_hour_grid_import_kwh,soc_bound_violations,avg_solve_time_ms,avg_forecast_confidence,scenario,controller,seed
757.5526468123198,9.830409640953807,4.391682052319068,178.24660399485475,0.0,26,34.695926511776904,616.200454118857,10,54.93558281242864,0.25965864021435314,Heatwave AC Surge,DT-AAMPC (Proposed),0
765.5789652893668,9.736163397055076,4.5953470429662024,186.52090186301456,0.0,26,32.21557418195868,612.5235231550876,6,62.11303628449767,0.25965864021435314,Heatwave AC Surge,DT-AAMPC (Proposed),1
779.2856598386966,9.704501250034737,4.919678835280195,199.30660866817215,0.0,20,37.85529795779907,617.534878836334,16,55.51047013851632,0.25965864021435314,Heatwave AC Surge,DT-AAMPC (Proposed),2
737.8944681434097,9.742956068274255,3.908400515567423,158.41847525871967,0.0,23,36.30335564282234,616.0397300528421,7,49.28407899324662,0.25965864021435314,Heatwave AC Surge,DT-AAMPC (Proposed),3
753.071739180954,9.774165371324695,4.270080546026023,173.60733418888157,0.0,25,30.165468285584417,615.5072984321494,10,53.324174826810925,0.25965864021435314,Heatwave AC Surge,DT-AAMPC (Proposed),4
659.2479084172778,9.544123662040981,1.7887786391607152,78.95468602930731,0.0,5,41.41686344625419,615.8127403458864,545,0.030449826176158643,0.25965864021435314,Heatwave AC Surge,PID Droop,0
659.1800375406826,9.544967893600532,1.7871249120935073,78.88882858365216,0.0,5,41.44338319927422,615.8127403458864,545,0.03141406245453659,0.25965864021435314,Heatwave AC Surge,PID Droop,1
659.2300919972259,9.544388747449418,1.7883646091565453,78.93751209851754,0.0,5,41.46866778337021,615.8127403458864,545,0.028410590099762583,0.25965864021435314,Heatwave AC Surge,PID Droop,2
659.2219145967292,9.54439572389133,1.7877526524556542,78.92933566660184,0.0,5,41.57476975980099,615.8127403458864,545,0.029811632025990145,0.25965864021435314,Heatwave AC Surge,PID Droop,3
659.2161123318407,9.544413641395943,1.7881558534115216,78.92356430537112,0.0,5,41.86190346014649,615.8127403458864,545,0.030071007030427508,0.25965864021435314,Heatwave AC Surge,PID Droop,4
1440.099659017834,9.977220684870181,21.361074234555044,871.1243393518217,0.0,89,1153.517424997206,568.9545771568582,50,37.28855937490354,0.25965864021435314,Heatwave AC Surge,Classical MPC (Naive Forecast),0
1452.9187503728797,10.017461198854082,21.69820494457736,885.4469747074179,0.0,93,1213.6248104088277,562.5980015891071,32,31.31547482629079,0.25965864021435314,Heatwave AC Surge,Classical MPC (Naive Forecast),1
1472.802602142854,10.008238130281267,22.188127720938432,904.6919281460991,0.0,104,1281.1414045414845,565.0520428541721,35,29.730212499948212,0.25965864021435314,Heatwave AC Surge,Classical MPC (Naive Forecast),2
1433.6399496606975,10.025081785102385,21.209710690287732,865.8481164175828,0.0,95,1265.7254306020386,564.1352384936924,36,30.57077308999902,0.25965864021435314,Heatwave AC Surge,Classical MPC (Naive Forecast),3
1467.5631255795229,9.994183355514508,22.039568902252306,899.4733317576472,0.0,99,1245.2097510286699,564.854618572682,48,29.333185764219,0.25965864021435314,Heatwave AC Surge,Classical MPC (Naive Forecast),4
208.27720351971024,69.84523694114114,4.498176294451383,182.98467116233314,0.0,15,23.47876077592401,24.47902509484128,0,32.135102604065146,0.013955654976762516,Winter Storm Load Peak,DT-AAMPC (Proposed),0
